calidad,pH,alcohol,interaccion
5,3.51,9.4,32.994
5,3.2,9.8,31.360000000000003
5,3.26,9.8,31.948
6,3.16,9.8,30.968000000000004
5,3.51,9.4,32.994
5,3.51,9.4,32.994
5,3.3,9.4,31.02
7,3.39,10,33.9
7,3.36,9.5,31.919999999999998
5,3.35,10.5,35.175000000000004
5,3.28,9.2,30.175999999999995
5,3.35,10.5,35.175000000000004
5,3.58,9.9,35.442
5,3.26,9.1,29.665999999999997
5,3.16,9.2,29.072
5,3.17,9.2,29.163999999999998
7,3.3,10.5,34.65
5,3.11,9.3,28.923000000000002
4,3.38,9,30.419999999999998
6,3.04,9.2,27.967999999999996
6,3.39,9.4,31.866000000000003
5,3.52,9.7,34.144
5,3.17,9.5,30.115
5,3.17,9.4,29.798000000000002
6,3.43,9.7,33.271
5,3.34,9.3,31.062
5,3.28,9.5,31.159999999999997
5,3.17,9.5,30.115
5,3.47,9.4,32.618
6,3.38,9.8,33.124
5,3.35,10.1,33.835
6,3.46,10.6,36.676
5,3.17,9.8,31.066000000000003
6,3.45,9.4,32.43
5,3.38,9.2,31.095999999999997
6,3.4,9.6,32.64
6,3.42,10.8,36.936
7,3.23,9.7,31.330999999999996
4,3.5,9.8,34.300000000000004
5,3.33,10.5,34.965
5,3.33,10.5,34.965
4,3.26,9.3,30.318
6,3.21,10.5,33.705
5,3.3,10.3,33.99
5,3.48,9.5,33.06
4,3.9,13.1,51.089999999999996
5,3.25,9.2,29.9
5,3.25,9.5,30.875
5,3.34,9.2,30.727999999999998
5,3.32,9.2,30.543999999999997
5,3.15,9.2,28.979999999999997
6,3.4,9.4,31.96
6,3.39,9.4,31.866000000000003
5,3.2,9.4,30.080000000000002
6,3.17,10.2,32.333999999999996
5,3.34,9.5,31.729999999999997
5,3.04,9.6,29.183999999999997
5,3.26,9.4,30.644
5,3.43,10,34.300000000000004
6,3.41,9.4,32.054
5,3.44,9.2,31.647999999999996
5,3.21,9.3,29.853
7,3.38,9.5,32.11
5,3.39,9.8,33.222
5,3.41,10.9,37.169000000000004
5,3.41,10.9,37.169000000000004
5,3.42,9.6,32.832
5,3.44,10.7,36.808
5,3.28,10.7,35.096
6,3.34,10.5,35.07
6,3.32,9.5,31.54
5,3.32,9.5,31.54
5,3.31,9.5,31.445
4,3.31,9.2,30.451999999999998
5,3.28,9.6,31.487999999999996
5,3.54,10.5,37.17
5,3.54,10.5,37.17
6,3.52,10.7,37.663999999999994
5,3.38,10.1,34.138
4,3.16,9.1,28.756
5,3.41,9.2,31.372
5,3.13,9.4,29.422
5,3.36,9.1,30.575999999999997
5,3.16,9.4,29.704000000000004
6,3.44,10.3,35.432
5,3.41,10.1,34.441
6,2.93,9.9,29.007
5,3.39,9.6,32.544
5,3.14,9.5,29.830000000000002
5,3.48,9,31.32
5,3.23,9.5,30.685
6,2.93,9.9,29.007
5,2.93,9.8,28.714000000000002
5,3.39,9.6,32.544
4,3.75,10.5,39.375
6,3.85,12.9,49.665
5,3.45,10.7,36.915
5,3.25,9.2,29.9
5,3.39,9.8,33.222
6,3.3,9,29.7
6,3.4,10.2,34.68
6,3.31,10.4,34.424
6,3.3,9,29.7
5,3.29,9.2,30.267999999999997
5,3.33,9.4,31.302000000000003
5,3.29,9.2,30.267999999999997
5,3.08,9.3,28.644000000000002
5,3.46,9.3,32.178000000000004
6,3.37,9.6,32.352
5,3.21,9.3,29.853
5,3.19,9.5,30.305
5,3.15,9.8,30.87
5,3.15,9.8,30.87
6,3.32,9.7,32.20399999999999
5,3.19,9.5,30.305
6,3.07,10.5,32.235
6,3.39,10,33.9
6,3.37,9.4,31.678
6,3.21,10.9,34.989
6,3.34,9.2,30.727999999999998
5,3.3,9,29.7
6,3.21,10.9,34.989
5,3.49,9.2,32.108
5,3.44,9.5,32.68
5,3.39,9.5,32.205
